carat,cut,color,clarity,depth,table,x,y,z,price
1.23,Ideal,J,SI1,61.3,54,6.92,6.97,4.26,5181
0.9,Ideal,G,VS1,62.1,56,6.15,6.19,3.83,5540
0.91,Ideal,E,SI1,61.0,57,6.2,6.26,3.8,4392
0.9,Good,F,SI1,63.9,59,6.06,6.09,3.88,4062
1.02,Premium,H,SI1,62.9,59,6.41,6.38,4.02,4884
1.2,Very Good,E,SI2,63.3,55,6.77,6.73,4.27,5645
1.1,Ideal,E,SI2,61.6,56,6.66,6.63,4.09,5359
1.03,Good,H,SI1,63.1,56,6.35,6.39,4.02,4326
1.0,Fair,G,VS2,67.6,57,6.2,6.13,4.17,5484
0.71,Good,D,VS2,63.6,54,5.7,5.75,3.64,4289
0.9,Ideal,F,VS2,62.3,57,6.18,6.21,3.86,5160
1.04,Premium,G,VS2,62.5,58,6.47,6.43,4.03,6290
0.9,Premium,D,SI1,62.7,58,6.09,6.15,3.84,4381
1.19,Very Good,J,SI1,60.0,57,6.93,6.89,4.15,5390
1.0,Very Good,G,VS2,63.5,59,6.33,6.23,3.99,5967
1.0,Premium,G,VS2,63.0,58,6.4,6.33,4.01,6048
1.01,Premium,H,VS2,62.6,60,6.39,6.36,3.99,4745
0.9,Premium,H,VS2,61.7,59,6.13,6.19,3.8,4266
1.06,Very Good,G,VS1,60.5,56,6.65,6.6,4.01,6707
0.9,Good,G,VS2,63.6,59,6.1,6.04,3.86,4022
1.03,Very Good,G,VS1,60.7,58,6.5,6.55,3.96,6628
1.1,Ideal,G,VS2,60.9,56,6.68,6.79,4.1,6939
1.22,Premium,G,SI1,61.2,60,6.82,6.75,4.15,6449
1.12,Very Good,D,SI1,62.2,59,6.65,6.67,4.14,5966
1.02,Very Good,H,SI1,63.2,57,6.44,6.38,4.05,4688
1.01,Premium,F,VS1,62.4,61,6.39,6.36,3.98,7127
1.21,Good,J,SI2,61.1,61,6.83,6.89,4.18,4824
1.0,Premium,D,VS1,61.0,58,6.46,6.42,3.93,7280
1.1,Very Good,H,SI2,62.9,58,6.53,6.56,4.12,4422
0.91,Very Good,E,SI1,62.1,60,6.21,6.25,3.87,4284
1.29,Very Good,J,SI1,61.2,58,6.97,7.02,4.28,5209
1.01,Very Good,I,SI1,63.4,62,6.25,6.18,3.94,4072
1.03,Ideal,I,VS2,61.2,56,6.5,6.51,3.98,5378
1.2,Premium,F,SI1,62.4,58,6.81,6.75,4.23,6250
1.18,Ideal,I,VVS1,59.7,54,6.99,6.92,4.15,6494
1.5,Good,E,I1,62.4,64,7.22,7.26,4.52,4989
1.16,Ideal,H,VS2,62.1,57,6.7,6.73,4.17,6954
1.16,Ideal,I,SI1,62.4,57,6.71,6.75,4.2,5107
1.1,Ideal,H,SI1,62.5,57,6.6,6.56,4.11,4764
1.01,Premium,F,VS2,62.2,60,6.37,6.4,3.97,6416
1.03,Premium,H,SI1,61.1,59,6.56,6.5,3.99,4603
1.01,Very Good,E,SI2,63.3,57,6.39,6.31,4.02,4270
1.06,Ideal,I,SI1,61.2,56,6.6,6.57,4.03,4749
1.0,Premium,G,VS2,60.1,57,6.42,6.35,3.84,6272
1.0,Premium,D,SI1,62.5,59,6.32,6.38,3.97,5775
2.21,Premium,H,I1,62.2,58,8.31,8.27,5.16,6535
1.0,Very Good,I,SI1,60.4,63,6.44,6.37,3.87,4032
1.01,Very Good,F,SI2,63.4,56,6.4,6.34,4.04,4355
1.03,Premium,H,SI1,60.7,60,6.61,6.53,3.99,4384
1.2,Ideal,H,SI1,62.7,55,6.76,6.73,4.23,6512
1.15,Premium,H,SI1,62.0,58,6.77,6.66,4.16,5506
1.3,Ideal,F,SI2,62.2,56,6.96,7.0,4.34,6442
1.03,Very Good,G,SI2,63.9,59,6.33,6.39,4.07,4769
1.01,Premium,G,VS1,61.2,58,6.47,6.33,3.92,6335
1.0,Premium,F,SI1,63.0,60,6.34,6.24,3.97,4234
0.9,Fair,G,VS2,65.8,61,5.99,5.96,3.93,4309
1.2,Very Good,H,SI1,61.4,63,6.76,6.72,4.14,4603
1.5,Very Good,H,SI2,61.3,59,7.38,7.41,4.53,7774
1.33,Ideal,I,SI1,61.6,57,7.06,7.1,4.36,7526
1.07,Ideal,J,SI1,62.4,56,6.52,6.56,4.08,4422
1.03,Premium,E,VS2,61.2,59,6.53,6.47,3.98,7192
0.92,Ideal,D,SI1,62.3,56,6.2,6.23,3.87,5779
1.05,Ideal,F,VS1,62.1,56,6.54,6.59,4.08,7955
0.9,Ideal,E,SI2,61.7,56,6.21,6.26,3.85,4034
1.21,Premium,I,SI1,59.3,59,6.98,6.95,4.13,5421
1.0,Good,F,SI2,62.0,59,6.32,6.36,3.93,4204
1.01,Ideal,I,VS2,64.1,58,6.27,6.21,4.0,4378
1.01,Ideal,F,SI1,63.0,57,6.39,6.34,4.01,4559
1.11,Ideal,E,SI2,62.8,55,6.62,6.6,4.15,5004
1.51,Good,J,VS1,63.5,60,7.23,7.29,4.61,7848
1.01,Very Good,G,VS1,63.1,59,6.32,6.23,3.96,5294
1.01,Good,E,SI1,64.2,56,6.31,6.27,4.04,4032
1.02,Ideal,G,VS2,60.6,56,6.56,6.52,3.96,6333
1.2,Premium,I,VS1,62.8,56,6.8,6.74,4.25,6021
1.01,Good,G,VS2,63.9,54,6.37,6.31,4.05,5701
1.06,Good,E,SI2,58.8,61,6.63,6.67,3.91,4257
1.06,Very Good,F,VS2,62.7,55,6.54,6.5,4.09,6627
0.9,Good,H,VVS1,64.3,59,6.04,6.09,3.9,4381
1.05,Ideal,H,SI2,61.2,57,6.59,6.54,4.02,4410
1.02,Premium,H,SI2,62.7,59,6.41,6.34,4.0,4455
1.0,Premium,G,VS1,62.4,59,6.4,6.35,3.98,6727
1.0,Premium,E,SI1,60.5,59,6.45,6.4,3.89,5396
1.02,Premium,F,SI2,61.0,58,6.49,6.52,3.97,4043
1.12,Premium,H,VS1,61.6,58,6.64,4.11,3.7,6115
1.15,Ideal,J,VS1,61.5,55,6.81,6.76,4.17,5152
1.02,Ideal,H,SI1,61.7,57,6.45,6.48,3.99,5047
1.25,Ideal,G,SI1,62.5,54,6.88,6.85,4.29,6580
1.19,Premium,H,SI1,61.3,58,6.82,6.78,4.17,6078
1.2,Premium,I,SI2,60.0,58,6.93,6.91,4.15,5080
1.09,Ideal,G,VS2,60.9,57,6.69,6.72,4.08,6617
1.21,Very Good,J,VS2,60.9,58,6.86,6.91,4.19,4816
1.47,Premium,I,SI2,61.6,59,7.29,7.32,4.5,6403
1.0,Premium,G,SI1,60.5,61,6.51,6.45,3.92,5152
1.0,Premium,D,SI1,61.5,60,6.38,6.34,3.91,5488
1.53,Ideal,I,VS1,62.9,57,7.36,7.3,4.61,7968
1.01,Ideal,F,VS1,62.2,57,6.38,6.48,4.0,7122
1.2,Premium,H,VS2,62.4,57,6.73,6.67,4.18,6048
1.26,Ideal,E,SI2,62.4,57,6.91,6.85,4.29,4939
1.01,Ideal,G,VS2,60.4,61,6.45,6.5,3.91,6132
1.01,Very Good,G,SI1,62.6,59,6.38,6.3,3.97,4916
1.22,Ideal,I,VS2,62.5,57,6.83,6.9,4.29,5960
1.21,Very Good,H,SI1,63.3,57,6.77,6.7,4.26,6058
1.07,Premium,G,VS1,62.0,58,6.59,6.53,4.07,6730
1.11,Very Good,H,SI1,63.2,58,6.53,6.61,4.15,5192
1.0,Premium,G,VS2,62.1,58,6.43,6.39,3.98,5242
1.21,Premium,G,VS2,62.2,60,6.79,6.75,4.21,7611
1.04,Ideal,H,SI1,62.7,54,6.51,6.47,4.07,4515
1.08,Premium,H,SI1,62.6,56,6.58,6.52,4.1,4826
1.28,Ideal,G,I1,61.6,57,6.96,6.93,4.28,4509
1.01,Fair,D,SI1,66.3,55,6.22,6.17,4.11,4118
1.22,Ideal,J,VS1,61.4,58,6.85,6.87,4.21,6201
1.19,Very Good,H,VS2,61.1,58,6.78,6.83,4.16,6819
1.11,Premium,G,SI1,62.4,58,6.65,6.61,4.14,5750
1.01,Ideal,G,VS2,61.9,58,6.37,6.43,3.96,6449
0.91,Ideal,G,VS2,62.3,57,6.18,6.24,3.87,4257
1.14,Premium,H,VS2,61.3,59,6.76,6.72,4.13,5700
1.08,Very Good,H,VVS1,63.1,57,6.57,6.52,4.13,6623
1.24,Ideal,F,SI2,61.4,58,6.85,6.9,4.22,6503
2.0,Fair,F,I1,64.9,57,7.99,7.82,5.14,7258
1.05,Very Good,E,VS1,63.1,59,6.49,6.45,4.08,7969
1.2,Good,H,VS2,62.6,56,6.73,6.76,4.22,6468
1.52,Premium,J,SI1,60.4,59,7.44,7.39,4.48,5618
1.26,Ideal,I,SI1,62.4,56,6.93,6.85,4.3,5645
1.02,Good,G,VVS2,63.1,59,6.38,6.45,4.05,7800
1.0,Very Good,G,VS1,59.1,61,6.48,6.54,3.85,6435
1.07,Very Good,H,SI1,59.2,61,6.65,6.67,3.94,5143
1.06,Good,G,VS1,63.4,57,6.45,6.48,4.1,6477
1.12,Premium,I,VS2,62.4,58,6.63,6.59,4.13,4321
1.03,Ideal,G,VS1,60.8,57,6.55,6.57,3.99,7587
1.05,Ideal,G,VS1,62.0,56,6.47,6.53,4.03,6936
1.09,Very Good,G,VS2,59.9,56,6.59,6.73,3.99,5783
1.01,Very Good,F,VS2,63.1,60,6.39,6.29,4.0,6271
1.05,Ideal,F,SI2,60.3,55,6.55,6.68,3.99,4987
1.24,Very Good,G,SI1,61.8,59,6.85,6.88,4.24,6438
1.0,Premium,D,SI2,60.9,59,6.46,6.41,3.92,5286
1.02,Ideal,G,VS1,61.5,55,6.49,6.52,4.0,7357
1.13,Premium,H,VS2,62.4,58,6.61,6.66,4.14,5779
1.22,Ideal,I,VS2,60.4,57,6.91,6.99,4.2,7430
1.14,Good,E,SI1,60.9,64,6.78,6.68,4.09,5899
1.01,Good,F,VS1,61.8,57,6.34,6.44,3.95,6626
0.9,Very Good,G,VS1,62.7,60,6.06,6.13,3.82,4540
1.22,Very Good,H,SI2,63.1,59,6.81,6.75,4.28,5192
1.07,Very Good,F,SI2,59.4,60,6.68,6.75,3.99,4552
1.01,Very Good,F,VS2,59.1,59,6.58,6.65,3.91,6196
1.01,Premium,E,SI1,62.4,60,6.35,6.32,3.95,5002
1.03,Very Good,F,SI2,62.4,59,6.38,6.45,4.0,4503
1.01,Premium,E,SI1,62.9,58,6.41,6.35,4.01,5599
1.03,Very Good,H,SI2,62.8,59,6.4,6.43,4.03,4283
1.29,Ideal,F,SI2,61.9,55,6.95,7.01,4.32,7126
1.01,Very Good,F,SI1,61.9,57,6.37,6.42,3.96,4619
1.29,Very Good,G,SI2,63.3,61,6.84,6.8,4.32,4937
1.02,Ideal,H,SI2,60.5,60,6.56,6.53,3.96,4225
1.0,Premium,G,VS2,61.5,58,6.39,6.36,3.92,5967
1.01,Premium,F,SI2,62.6,54,6.38,6.34,3.98,4468
1.04,Ideal,H,SI2,61.7,57,6.49,6.54,4.02,4461
1.57,Premium,I,SI2,60.9,58,7.53,7.51,4.58,7484
1.0,Premium,G,VVS2,62.5,60,6.43,6.34,3.99,6702
0.85,Ideal,D,VVS1,62.0,56,6.05,6.11,3.77,7230
1.28,Good,G,SI1,57.6,62,7.17,7.13,4.12,6175
1.04,Ideal,I,SI1,61.7,57,6.49,6.54,4.02,4344
1.15,Premium,H,SI1,62.0,58,6.77,6.71,4.18,5433
1.11,Ideal,D,SI2,61.6,55,6.66,6.62,4.09,5648
1.01,Very Good,G,VS1,62.8,58,6.34,6.37,3.99,6152
1.51,Good,J,VS2,62.8,59,7.17,7.2,4.51,7418
0.73,Very Good,D,VS1,61.1,59,5.79,5.86,3.56,4116
1.2,Premium,H,SI2,62.8,61,6.7,6.62,4.18,4973
1.01,Premium,H,VS2,62.9,60,6.33,6.22,3.95,4559
1.31,Ideal,H,SI1,60.8,56,7.12,7.08,4.32,7519
1.22,Premium,E,SI2,61.5,58,6.86,6.84,4.21,6121
0.89,Ideal,F,VS2,61.5,55,6.18,6.21,3.81,4854
1.03,Very Good,G,VS1,63.0,56,6.43,6.46,4.06,6539
1.0,Premium,F,SI1,62.1,60,6.29,6.23,3.88,4234
1.2,Ideal,J,SI2,61.7,56,6.87,6.79,4.21,4744
1.06,Ideal,G,VVS2,61.0,57,6.55,6.57,4.0,7900
1.13,Premium,J,SI1,61.3,59,6.77,6.67,4.12,4214
1.22,Premium,I,SI2,62.3,58,6.8,6.85,4.25,4831
1.0,Fair,F,VS2,68.4,58,5.97,6.1,4.13,4656
1.19,Premium,H,SI1,60.8,59,6.87,6.84,4.17,5698
1.0,Good,E,SI2,63.5,54,6.35,6.41,4.05,4400
1.21,Good,F,VS2,63.7,58,6.67,6.71,4.26,7911
1.3,Ideal,F,SI2,62.2,56,7.0,6.96,4.34,6559
1.21,Premium,D,SI2,62.5,57,6.79,6.71,4.22,6505
1.3,Premium,D,SI2,60.2,59,7.0,7.05,4.23,7002
1.23,Ideal,H,VS2,62.2,55,6.81,6.85,4.25,7130
1.1,Premium,F,SI2,62.6,57,6.6,6.56,4.12,4832
0.91,Ideal,D,SI1,62.1,55,6.2,6.24,3.86,5535
1.01,Good,D,SI2,63.1,54,6.37,6.43,4.04,4260
1.02,Premium,F,VS1,60.5,56,6.61,6.52,3.97,7197
1.2,Good,J,SI2,63.3,54,6.72,6.78,4.27,4659
1.31,Premium,J,SI1,59.4,60,7.12,7.06,4.21,5546
1.2,Premium,I,VVS2,63.0,60,6.71,6.63,4.2,5376
1.0,Premium,H,VS2,59.4,61,6.51,6.46,3.85,5572
1.0,Very Good,G,SI2,62.6,58,6.34,6.38,3.98,4725
1.01,Ideal,G,VS2,61.4,58,6.47,6.44,3.97,6618
1.01,Good,G,VVS2,58.2,55,6.65,6.68,3.88,7306
1.0,Very Good,F,SI1,63.1,59,6.29,6.22,3.95,4234
1.75,Ideal,H,I1,61.5,55,7.78,7.75,4.78,7409
0.99,Very Good,F,SI1,62.5,58,6.36,6.38,3.98,5112
1.46,Premium,G,SI2,62.8,52,7.31,7.27,4.58,5421
0.9,Premium,G,VS2,62.8,58,6.14,6.09,3.84,4137
1.2,Very Good,J,VS1,62.9,60,6.64,6.69,4.19,5226
1.02,Premium,E,SI1,62.6,58,6.44,6.47,4.05,5183
1.04,Premium,I,SI2,61.3,59,6.5,6.46,3.97,4141
1.23,Premium,G,SI2,62.1,58,6.85,6.8,4.24,4918
1.01,Ideal,H,SI1,62.4,53,6.42,6.47,4.02,4559
1.24,Ideal,H,SI1,62.3,54,6.88,6.9,4.29,6867
1.02,Premium,D,SI2,62.3,58,6.42,6.37,3.99,4044
1.13,Very Good,J,VS2,62.0,59,6.62,6.66,4.12,4206
1.0,Premium,E,VS2,60.4,57,6.49,6.46,3.91,6720
1.16,Ideal,G,SI2,61.9,56,6.77,6.73,4.18,4969
1.01,Very Good,F,SI2,59.1,57,6.57,6.62,3.9,4304
1.45,Fair,F,SI2,64.4,58,7.17,7.11,4.59,6455
1.12,Premium,E,SI2,63.0,61,6.66,6.61,4.18,4215
1.01,Premium,G,VS1,62.7,58,6.38,6.41,4.01,6499
1.03,Ideal,J,SI1,62.1,55,6.46,6.51,4.03,4221
1.16,Premium,J,SI1,62.5,58,6.73,6.67,4.19,4222
1.4,Ideal,H,SI2,61.2,56,7.18,7.23,4.41,7084
0.79,Very Good,D,VS1,62.4,60,5.86,5.88,3.66,4213
1.02,Ideal,G,VS2,60.5,57,6.51,6.55,3.95,6356
1.0,Very Good,I,VS2,63.5,56,6.33,6.3,4.01,4620
1.0,Very Good,D,SI2,61.5,63,6.32,6.27,3.87,4295
1.01,Premium,E,SI2,60.6,58,6.53,6.47,3.94,4118
1.3,Premium,H,SI1,62.9,60,6.95,6.88,4.35,5671
1.01,Ideal,E,SI2,59.6,60,6.52,6.6,3.91,4604
1.13,Ideal,H,SI1,61.9,60,6.63,6.65,4.11,5911
1.3,Premium,D,SI2,61.5,58,6.98,6.91,4.27,7044
1.0,Premium,F,SI1,60.3,58,6.43,6.47,3.89,5197
1.1,Ideal,G,SI2,62.1,58,6.61,6.63,4.11,5361
1.51,Ideal,H,SI2,61.7,57,7.39,7.36,4.55,6384
1.01,Ideal,F,SI1,62.3,58,6.35,6.42,3.98,5646
1.01,Ideal,F,VS2,61.6,56,6.48,6.45,3.98,7229
1.5,Good,J,SI1,59.1,64,7.32,7.43,4.36,6687
1.05,Ideal,F,SI2,61.9,56,6.48,6.5,4.02,5347
1.0,Fair,F,SI1,56.9,63,6.45,6.52,3.69,4688
0.95,Premium,G,SI1,58.0,62,6.47,6.42,3.74,4426
1.01,Good,H,VS1,63.8,59,6.34,6.3,4.03,5515
1.16,Ideal,G,SI2,61.5,54,6.78,6.75,4.16,5301
1.08,Ideal,F,SI1,62.7,57,6.52,6.49,4.08,5327
1.01,Very Good,E,SI1,62.8,57,6.37,6.41,4.01,5499
1.21,Very Good,I,VS1,59.4,60,6.9,6.97,4.12,5865
1.21,Good,J,IF,62.1,60,6.81,6.87,4.25,6299
1.0,Very Good,H,SI1,61.9,58,6.3,6.37,3.92,4953
1.01,Good,G,VS1,63.2,58,6.34,6.38,4.02,6499
1.01,Very Good,E,SI1,63.6,56,6.3,6.37,4.03,6132
1.2,Ideal,H,SI1,61.9,56,6.78,6.82,4.21,6578
1.5,Very Good,I,SI1,60.2,63,7.38,7.33,4.43,7140
1.2,Very Good,I,SI1,61.2,62,6.75,6.84,4.16,5226
1.01,Ideal,F,VS1,61.7,59,6.44,6.42,3.97,7056
1.01,Good,F,SI1,63.8,59,6.32,6.29,4.02,4989
1.5,Good,D,SI2,61.1,64,7.26,7.35,4.46,7722
1.0,Ideal,G,VS2,62.1,57,6.42,6.37,3.97,6612
1.04,Very Good,G,VS2,63.4,55,6.48,6.42,4.09,6232
1.25,Ideal,G,SI2,61.1,55,6.95,6.99,4.26,6371
1.25,Ideal,J,SI1,62.4,57,6.86,6.92,4.3,5252
1.07,Premium,D,VS2,61.3,59,6.61,6.53,4.03,7751
1.0,Very Good,I,SI1,63.2,56,6.37,6.31,4.01,4088
1.13,Ideal,I,VS1,61.9,55,6.67,6.7,4.14,6980
1.08,Ideal,E,SI1,61.5,55,6.59,6.62,4.06,7672
1.0,Good,H,VS1,61.8,61,6.4,6.31,3.93,5219
1.0,Premium,F,SI1,62.6,60,6.32,6.3,3.95,5292
1.21,Fair,E,SI2,65.6,59,6.62,6.56,4.32,4926
1.68,Good,E,I1,64.3,60,7.44,7.48,4.8,5765
1.15,Ideal,I,VS1,62.1,55,6.76,6.67,4.18,5626
1.23,Very Good,H,VS2,61.6,59,6.84,6.86,4.22,6459
1.1,Very Good,I,SI1,62.7,58,6.54,6.58,4.11,4356
1.03,Ideal,G,SI1,62.4,57,6.47,6.52,4.05,4679
1.01,Good,F,SI2,63.7,59,6.28,6.38,4.03,4166
1.24,Premium,D,SI1,62.4,59,6.82,6.86,4.27,7351
1.12,Premium,G,VS1,58.4,58,6.87,6.84,4.0,7338
1.21,Good,H,VS1,59.5,65,6.88,6.84,4.08,6871
1.01,Premium,E,VS2,62.1,58,6.42,6.34,3.96,6425
1.06,Very Good,D,SI1,59.3,60,6.64,6.71,3.96,6062
1.33,Ideal,H,SI1,62.7,56,7.04,6.99,4.4,7217
1.22,Ideal,G,SI1,61.6,57,6.89,6.81,4.22,6559
0.9,Good,F,VVS1,64.2,56,6.07,6.02,3.88,6124
1.24,Premium,I,VS2,62.1,55,6.91,6.87,4.28,5889
1.27,Good,I,VS2,63.3,63,6.82,6.87,4.33,5923
1.04,Ideal,E,SI2,61.4,56,6.5,6.56,4.01,4804
1.33,Ideal,J,VS1,61.3,57,7.11,7.08,4.35,6118
1.03,Premium,E,SI2,61.8,59,6.47,6.42,3.98,4845
0.92,Ideal,H,VS2,62.2,55,6.21,6.27,3.88,4568
1.06,Premium,F,SI1,58.4,61,6.73,6.69,3.92,5535
1.21,Ideal,F,VS2,62.6,55,6.81,6.74,4.24,6261
1.03,Premium,H,VS2,61.6,61,6.51,6.44,3.99,5364
1.23,Very Good,I,SI1,60.5,58,6.9,6.94,4.19,5763
1.03,Ideal,F,SI2,61.8,56,6.49,6.46,4.0,4454
1.73,Premium,I,SI2,61.1,62,7.64,7.54,4.64,7270
0.9,Very Good,G,IF,63.1,58,6.18,6.09,3.87,5670
1.04,Premium,F,SI1,62.2,60,6.48,6.44,4.02,5300
1.07,Ideal,G,SI1,60.2,57,6.7,6.59,4.0,5453
0.73,Ideal,G,VVS1,61.7,57,5.77,5.8,3.57,4182
0.9,Premium,H,VVS2,62.4,58,6.15,6.12,3.83,4657
1.02,Ideal,F,SI2,61.4,56,6.47,6.5,3.98,4578
1.35,Very Good,I,VS2,61.7,59,7.05,7.09,4.36,6884
0.9,Very Good,E,SI1,61.6,57,6.19,6.25,3.83,4463
1.0,Very Good,D,SI1,62.3,59,6.26,6.29,3.91,5342
1.19,Premium,H,SI1,62.7,56,6.76,6.7,4.22,5802
1.5,Premium,E,I1,61.5,58,7.38,7.2,4.5,4032
1.51,Premium,I,SI2,62.7,55,7.37,7.28,4.59,7766
1.01,Ideal,H,VS1,62.6,57,6.37,6.4,4.0,5777
1.01,Good,F,SI1,64.2,58,6.24,6.29,4.02,4339
1.5,Fair,J,VS2,64.5,59,7.2,7.07,4.6,5846
1.01,Premium,G,VS2,59.2,59,6.59,6.52,3.88,6108
1.27,Ideal,H,SI1,60.6,57,7.07,7.0,4.26,6785
1.52,Ideal,I,SI2,61.3,60,7.33,7.39,4.51,7582
1.23,Very Good,J,VVS2,61.2,57,6.86,6.92,4.22,5665
1.26,Premium,I,SI1,62.0,58,6.9,6.87,4.27,6068
1.22,Ideal,H,SI1,61.8,57,6.85,6.83,4.23,6776
1.5,Very Good,J,SI1,62.5,58,7.24,7.29,4.54,6987
1.24,Very Good,I,VS2,60.0,58,6.98,7.03,4.2,6134
1.24,Fair,G,SI2,65.7,57,6.72,6.68,4.4,4058
0.92,Very Good,E,SI1,62.1,58,6.15,6.22,3.84,4562
1.24,Ideal,J,SI1,61.9,56,6.95,6.88,4.28,5125
1.05,Premium,D,SI1,59.3,58,6.74,6.68,3.98,6174
0.96,Very Good,F,SI1,62.1,62,6.24,6.32,3.9,4755
0.96,Very Good,D,SI2,60.0,60,6.43,6.47,3.87,4060
1.09,Ideal,F,SI1,62.0,56,6.59,6.61,4.09,5816
1.0,Ideal,F,SI2,61.2,57,6.39,6.48,3.94,4372
1.02,Premium,H,VS2,61.9,57,6.5,6.4,3.99,5171
1.0,Premium,F,SI1,59.7,60,6.48,6.51,3.88,4851
1.02,Very Good,F,SI1,63.3,58,6.39,6.35,4.03,5038
1.19,Ideal,H,SI2,62.0,57,6.77,6.81,4.21,4914
0.82,Very Good,G,IF,61.9,57,5.96,6.0,3.7,4844
1.16,Ideal,I,VS2,61.5,57,6.75,6.78,4.16,5207
1.0,Fair,D,SI1,67.3,57,6.15,6.04,4.1,5096
1.34,Ideal,H,VS2,60.8,55,7.18,7.12,4.35,7999
1.0,Good,G,VVS2,62.4,61,6.32,6.3,3.94,6748
0.91,Ideal,G,SI1,62.0,54,6.23,6.26,3.87,4453
1.2,Very Good,I,SI1,62.8,57,6.7,6.74,4.22,5408
1.2,Premium,H,SI1,62.4,59,6.72,6.68,4.18,5592
1.33,Premium,H,SI1,61.9,58,7.04,6.98,4.34,7302
1.05,Very Good,H,SI1,59.5,58,6.61,6.69,3.96,4608
0.91,Ideal,G,VS2,61.4,57,6.23,6.28,3.84,5023
1.0,Fair,F,VS1,67.0,52,6.12,6.08,4.09,4984
1.11,Premium,G,VS2,61.0,59,6.7,6.67,4.08,5346
1.02,Good,F,SI1,63.7,61,6.27,6.23,3.98,4678
1.01,Very Good,H,SI2,63.5,58,6.29,6.37,4.02,4475
1.08,Very Good,E,SI2,62.9,59,6.44,6.53,4.08,5018
1.53,Very Good,I,SI2,61.6,56,7.39,7.45,4.57,7406
1.2,Premium,H,VS1,62.7,58,6.75,6.65,4.2,6727
1.0,Premium,H,IF,60.6,57,6.54,6.47,3.94,7235
1.5,Ideal,I,I1,61.8,57,7.39,7.31,4.54,5510
1.13,Premium,G,VS1,58.6,59,6.91,6.84,4.03,7404
1.02,Ideal,G,SI1,61.5,57,6.54,6.44,3.99,5398
0.9,Very Good,E,SI1,61.4,56,6.19,6.23,3.81,5387
0.91,Ideal,F,SI1,62.0,55,6.21,6.24,3.86,5176
1.14,Very Good,I,VS1,63.3,56,6.68,6.6,4.2,5148
1.01,Good,D,VS2,62.5,62,6.26,6.34,3.94,6563
1.54,Premium,I,SI2,61.5,61,7.41,7.31,4.53,6278
1.58,Fair,H,SI1,64.7,58,7.28,7.22,4.69,7333
1.05,Very Good,G,VS2,62.8,57,6.45,6.49,4.06,6486
1.01,Premium,F,VS1,61.4,60,6.45,6.39,3.94,7792
1.01,Good,D,SI2,65.1,57,6.27,6.32,4.1,4468
1.03,Ideal,F,SI1,62.8,56,6.38,6.46,4.03,5356
1.04,Ideal,F,VS2,62.1,57,6.48,6.53,4.04,6692
1.0,Good,H,SI1,57.9,54,6.68,6.62,3.85,4469
1.23,Very Good,I,VS2,61.2,59,6.84,6.81,4.18,6826
1.01,Good,F,VS2,62.1,58,6.28,6.35,3.92,6288
0.91,Very Good,F,VS1,62.4,59,6.15,6.16,3.84,5302
0.86,Good,D,VVS1,64.3,53,6.02,6.12,3.89,5029
1.26,Premium,J,SI1,61.7,58,6.91,6.99,4.29,5114
0.92,Good,D,SI1,60.2,56,6.28,6.32,3.79,5259
1.05,Premium,G,SI1,60.3,57,6.64,6.59,3.99,4974
1.01,Premium,F,SI1,58.9,60,6.57,6.5,3.85,5713
1.02,Premium,G,VS2,62.6,59,6.43,6.39,4.01,6087
1.12,Very Good,J,SI2,58.5,60,6.83,6.89,4.01,4066
1.09,Ideal,D,SI2,62.1,56,6.59,6.56,4.08,5258
1.37,Very Good,E,SI2,62.5,59,6.98,7.04,4.38,7365
1.53,Very Good,I,SI1,63.1,56,7.32,7.26,4.6,7797
1.23,Good,I,SI1,60.7,61,6.91,6.93,4.2,6165
1.06,Ideal,D,SI1,62.7,54,6.55,6.52,4.1,6055
1.01,Very Good,D,SI2,60.8,61,6.45,6.5,3.94,4260
1.02,Good,G,SI1,63.6,58,6.34,6.39,4.05,4964
1.06,Very Good,G,VS1,63.1,57,6.42,6.49,4.07,6663
1.01,Fair,D,SI1,66.2,56,6.05,6.1,4.02,5122
1.07,Very Good,E,SI1,60.4,63,6.67,6.6,4.01,4314
1.0,Good,E,VVS2,64.1,57,6.32,6.29,4.04,7692
1.29,Premium,I,SI1,62.1,57,7.03,6.92,4.33,6140
1.24,Premium,E,SI2,60.5,62,6.97,6.89,4.19,4666
1.07,Very Good,E,SI2,61.7,58,6.54,6.56,4.04,5304
1.1,Ideal,H,VVS2,62.0,56,6.59,6.63,4.1,7267
1.02,Premium,D,VS2,62.5,58,6.4,6.37,3.99,7643
1.07,Good,G,SI1,63.1,59,6.45,6.49,4.08,4861
1.08,Ideal,H,SI2,59.3,57,6.71,6.74,3.99,4455
1.01,Premium,D,SI2,62.6,60,6.4,6.37,4.0,4338
1.03,Ideal,E,SI1,62.0,57,6.47,6.44,4.0,5330
0.9,Good,F,VS1,62.8,57,6.04,6.1,3.81,4770
0.93,Premium,F,SI1,62.3,59,6.25,6.21,3.88,5729
1.2,Ideal,J,SI1,63.0,57,6.74,6.64,4.24,4234
0.9,Very Good,E,VVS2,62.0,55,6.08,6.17,3.8,6466
1.11,Very Good,H,SI2,63.4,55,6.54,6.51,4.14,4028
1.06,Premium,F,VS2,61.8,60,6.58,6.53,4.05,6673
1.0,Good,F,SI2,62.7,57,6.29,6.34,3.96,4081
1.16,Ideal,H,SI1,61.8,54,6.74,6.81,4.19,6084
